code,price,pct,turnover,vol_ratio,remark,name
002088,12.49,10.04%,5.24%,7.99,缩量横盘+大阳突破,鲁阳节能
600088,18.34,8.52%,6.15%,5.76,缩量横盘+大阳突破,中视传媒
002351,13.19,6.11%,8.83%,6.71,缩量横盘+大阳突破,漫步者
002722,16.13,5.01%,7.63%,5.45,缩量横盘+大阳突破,物产金轮
600825,7.29,5.5%,6.43%,5.82,缩量横盘+大阳突破,新华传媒
601949,7.41,9.94%,3.43%,11.4,缩量横盘+大阳突破,中国出版
000719,12.99,5.7%,3.4%,3.51,缩量横盘+大阳突破,中原传媒
002410,14.26,8.61%,6.98%,5.15,缩量横盘+大阳突破,广联达
002212,10.17,6.72%,9.88%,3.26,缩量横盘+大阳突破,天融信
600126,9.2,5.38%,4.17%,3.73,缩量横盘+大阳突破,杭钢股份
001202,17.67,10.02%,7.65%,4.84,缩量横盘+大阳突破,炬申股份
002443,8.86,10.06%,8.67%,3.05,缩量横盘+大阳突破,金洲管道
002161,8.12,6.42%,9.66%,5.21,缩量横盘+大阳突破,远 望 谷
603969,11.41,10.03%,7.14%,3.93,缩量横盘+大阳突破,银龙股份
600452,10.42,7.64%,6.33%,4.76,缩量横盘+大阳突破,涪陵电力
