日期,代码,名称,当前价,形态类型,贴线偏离%,MACD值,成交额(亿)
2026-01-31,600703,三安光电,16.16,回踩MA10缩量阴,0.17,0.095,22.94
2026-01-31,600172,黄河旋风,6.55,回踩MA10缩量阴,0.24,0.203,14.61
2026-01-31,002842,翔鹭钨业,26.12,回踩MA5缩量阴,0.35,1.496,18.09
2026-01-31,603212,赛伍技术,16.18,回踩MA10缩量阴,0.45,0.379,9.73
2026-01-31,002490,山东墨龙,9.0,回踩MA5缩量阴,-0.51,0.249,11.55
2026-01-31,601390,中国中铁,5.7,回踩MA5缩量阴,-0.59,0.071,38.19
2026-01-31,601600,中国铝业,14.13,回踩MA5缩量阴,-0.63,0.072,111.55
2026-01-31,002429,兆驰股份,9.69,回踩MA10缩量阴,-0.67,0.106,19.41
2026-01-31,600589,大位科技,10.17,回踩MA5缩量阴,-0.68,0.049,19.05
2026-01-31,000878,云南铜业,26.52,回踩MA5缩量阴,0.73,0.877,46.49
2026-01-31,000758,中色股份,7.92,回踩MA10缩量阴,0.78,0.231,13.75
2026-01-31,601117,中国化学,8.9,回踩MA10缩量阴,0.85,0.113,16.84
2026-01-31,603806,福斯特,17.01,回踩MA10缩量阴,0.94,0.546,12.1
